Time,U1,U2,U3
0.0,0.0,0.0,0.0
1.00000001335143e-10,-5.58683084844114e-20,-6.14788762463164e-26,-9.68110132558647e-27
2.00000002670286e-10,-2.23473001293098e-19,-4.8335543910103e-25,-7.61140887679369e-26
2.99999997066536e-10,-5.02813057374992e-19,-1.97264766770101e-24,-3.10632864788692e-25
4.25000007409082e-10,-1.00911278442947e-18,-7.29460152374413e-24,-1.14867801485507e-24
5.81249992581689e-10,-1.88748636432249e-18,-2.45461675278644e-23,-3.86525750795829e-24
7.76562480986343e-10,-3.36902246930115e-18,-7.66343975086745e-23,-1.20674395588547e-23
1.02070307761437e-09,-5.82020946681653e-18,-2.2604727197574e-22,-3.55946851536821e-23
1.32587885115498e-09,-9.82039411134795e-18,-6.38829507006268e-22,-1.00591636194581e-22
1.70734859583632e-09,-1.62830470493839e-17,-1.74773529519973e-21,-2.751935083194e-22
2.18418572117685e-09,-2.66454115524378e-17,-4.66427921931759e-21,-7.34385478011363e-22
2.78023226663038e-09,-4.31647228914628e-17,-1.22115227880719e-20,-1.92252889838984e-21
3.52529028191384e-09,-6.93801576896894e-17,-3.14970150109277e-20,-4.95809353055836e-21
4.45661285652932e-09,-1.10831567848151e-16,-8.02903313938994e-20,-1.26362242948617e-20
5.62076607479867e-09,-1.76174118001626e-16,-2.02760851119168e-19,-3.19002720218958e-20
7.07595759763535e-09,-2.78897826921654e-16,-5.08148372325959e-19,-7.99050978729969e-20
8.89494700118121e-09,-4.39959447776165e-16,-1.26535059073155e-18,-1.98810275287706e-19
1.11686837556135e-08,-6.9175830843499e-16,-3.13301233090329e-18,-4.91620735000479e-19
1.40108546986539e-08,-1.08401646051182e-15,-7.71512515381066e-18,-1.20817503961128e-18
1.75635683774544e-08,-1.69216377614642e-15,-1.88884327139932e-17,-2.94845075865469e-18
2.20044604759551e-08,-2.62852322983139e-15,-4.59226555502779e-17,-7.1322870767609e-18
2.75555755990808e-08,-4.05528966662553e-15,-1.10627234384515e-16,-1.70440548672939e-17
3.44944695029881e-08,-6.19450949139889e-15,-2.63027738212559e-16,-4.00049194212898e-17
4.31680859946937e-08,-9.32104616608491e-15,-6.13203255296765e-16,-9.13272578090812e-17
5.40101083856825e-08,-1.37051692694276e-14,-1.38663592157736e-15,-1.99402209869952e-16
6.75626381507755e-08,-1.94387776410393e-14,-2.98642980191364e-15,-4.0390056699728e-16
8.45032914753574e-08,-2.60469695535477e-14,-5.93224098587464e-15,-7.13306508975784e-16
1.05679120565583e-07,-3.18225331611029e-14,-1.02062531942061e-14,-9.28436836891938e-16
1.3214889804658e-07,-3.30594790909008e-14,-1.29722968817054e-14,-1.9997387770001e-16
1.65236116345113e-07,-2.37120978234528e-14,-4.19752852132615e-15,3.44582616767001e-15
2.06595146323707e-07,4.66643113784956e-15,3.37860199073423e-14,1.18864438420057e-14
2.58293937349663e-07,6.47351570677406e-14,1.03643134385153e-13,2.16920004772166e-14
3.22917429684821e-07,1.68866250193148e-13,1.49924330220506e-13,2.29689060333342e-14
4.03696787998342e-07,2.79148937038648e-13,1.06749963144255e-13,2.05914742857716e-14
5.04670992995671e-07,2.48369575774066e-13,8.11183937946339e-14,3.31542790183575e-14
6.30888735031476e-07,2.25348711045681e-15,2.2878010250138e-13,1.94558436608606e-14
7.88660884154524e-07,-2.33659147802837e-13,3.17889350910303e-13,-2.57797916450612e-14
9.85876113190898e-07,-3.42871591578822e-13,7.95306610281918e-14,2.04102617511019e-14
1.23239522054064e-06,-4.57448206918343e-13,-1.95208690249686e-13,4.27097966097367e-14
1.54054396261927e-06,-5.10410832522956e-13,-1.14549239234665e-13,-7.75155171306311e-15
1.92572997548268e-06,-5.196266594093e-13,-6.64961859989273e-14,8.86899484653066e-15
2.40721237787511e-06,-5.54478446664064e-13,-2.77526076121817e-13,1.42085685732774e-14
3.00906549455249e-06,-5.673852230062e-13,-1.43193386293282e-13,2.30514612525054e-14
3.61091861122986e-06,-5.76835454402236e-13,-1.84681100707379e-13,-9.06408262790932e-15
4.21277172790724e-06,-6.02593279094843e-13,-2.76493996968774e-13,3.40993814402449e-14
4.81462484458461e-06,-6.39217032170208e-13,-1.58271616298999e-13,-4.59550790450565e-16
5.5669411267445e-06,-7.25962746948167e-13,-2.76304559744187e-13,1.57345653433588e-14
6.31925740890438e-06,-8.20034144755066e-13,-3.17988989089954e-13,2.12515179336559e-14
7.07157414581161e-06,-9.41535369634872e-13,-3.09062427343229e-13,-8.23703711711138e-15
7.82388997322414e-06,-1.09391564816902e-12,-4.45107140164755e-13,3.81203891423963e-14
8.76428566698451e-06,-1.23348933064177e-12,-4.58648472933393e-13,-1.13458750383645e-14
9.70468136074487e-06,-1.43838662768764e-12,-5.08527790189783e-13,3.22289598979862e-14
1.06450770545052e-05,-1.6438175690428e-12,-5.8433282084519e-13,-1.97589683770792e-15
1.15854727482656e-05,-1.82528731712539e-12,-6.25806643918952e-13,1.97861678755649e-14
1.27061002785922e-05,-2.1267844256545e-12,-7.67416620701955e-13,1.16234240182572e-14
1.38267287184135e-05,-2.38426509438505e-12,-8.20517590503778e-13,7.55664350266926e-15
1.49473562487401e-05,-2.58466837342597e-12,-8.50502611046688e-13,2.0329500547713e-14
1.60679846885614e-05,-2.77733695416837e-12,-8.51335928836461e-13,3.36013226791276e-15
1.7468770238338e-05,-3.10417945688368e-12,-9.34513209004117e-13,2.06534906500378e-14
1.88695539691253e-05,-3.57760305755295e-12,-1.07841947177834e-12,5.8950896972916e-15
2.02703395189019e-05,-4.05957472499052e-12,-1.24498122314881e-12,1.72855877018669e-14
2.16711250686785e-05,-4.44527357632007e-12,-1.31375325115174e-12,8.52675626639024e-15
2.34221060964046e-05,-4.81018393519439e-12,-1.29675328634782e-12,1.47123456538216e-14
2.51730871241307e-05,-5.32185450222156e-12,-1.37416391200046e-12,1.0997872399018e-14
2.69240681518568e-05,-5.96040708109036e-12,-1.56709129180144e-12,1.32772990464516e-14
2.86750509985723e-05,-6.51536333565184e-12,-1.66325091720265e-12,1.07564519154246e-14
3.08637754642405e-05,-7.16110070547726e-12,-1.67860332838526e-12,1.28791791616819e-14
3.30525035678875e-05,-7.97547358016848e-12,-1.83898989786213e-12,1.14767526401436e-14
3.52412316715345e-05,-8.72588633293869e-12,-1.95407232062017e-12,1.16289000862612e-14
3.74299561372027e-05,-9.47205421736319e-12,-2.0049751789375e-12,1.23954623624275e-14
3.96186842408497e-05,-1.04567101505415e-11,-2.24457778752463e-12,1.22676510199175e-14
4.23545934609137e-05,-1.16338206429534e-11,-2.47579626071193e-12,1.24017049952488e-14
4.5090499042999e-05,-1.26521657733969e-11,-2.49312961768389e-12,1.32411739382841e-14
4.78264082630631e-05,-1.38895926010685e-11,-2.69292444246561e-12,1.43625261288033e-14
5.05623174831271e-05,-1.52602080277786e-11,-2.93659692916781e-12,1.41179411301188e-14
5.39822030987125e-05,-1.6895455520749e-11,-3.1062500661927e-12,1.62914793417832e-14
5.74020887142979e-05,-1.8683892974436e-11,-3.38766644944477e-12,1.65298208606134e-14
6.08219743298832e-05,-2.06774007638355e-11,-3.77585202687714e-12,1.90741943317503e-14
6.42418599454686e-05,-2.26644189527114e-11,-4.0969484749187e-12,1.94810462791732e-14
6.8516717874445e-05,-2.51029509679146e-11,-4.44644928515592e-12,2.29621246875585e-14
7.27915758034214e-05,-2.75823079654014e-11,-4.79107855819172e-12,2.51158719744102e-14
7.70664264564402e-05,-3.00164858246799e-11,-5.05733389194463e-12,2.93633322409441e-14
8.13412843854167e-05,-3.23808306557094e-11,-5.27970592592575e-12,3.37991997400016e-14
8.66848567966372e-05,-3.52808789128023e-11,-5.48303720135368e-12,3.95997186322487e-14
9.20284292078577e-05,-3.82331249992873e-11,-5.68740193829242e-12,4.53698425942166e-14
9.86033701337874e-05,-4.17979331701623e-11,-5.86635991520201e-12,5.28344796840892e-14
0.000105178303783759,-4.54306765818036e-11,-5.94454130017907e-12,5.76519423021483e-14
0.000111753244709689,-4.93434945680882e-11,-6.09478353202908e-12,6.04229733196411e-14
0.000118328185635619,-5.35752067709616e-11,-6.34959879813879e-12,6.2819094002152e-14
0.000126546859974042,-5.94396754038939e-11,-6.91051339415938e-12,6.6220412400092e-14
0.000134765534312464,-6.54184970083627e-11,-7.33380457057509e-12,6.91609313221986e-14
0.000142984208650887,-7.15715611776524e-11,-7.68196530692711e-12,7.17881700265655e-14
0.000153257540659979,-7.98573845939288e-11,-8.22557993940265e-12,6.99846335939537e-14
0.000163530887220986,-8.91058962726454e-11,-9.08688835982163e-12,6.37485737483602e-14
0.000176205299794674,-1.01827220266859e-10,-1.0636512504103e-11,5.89794055608217e-14
