Time,U1,U2,U3
0.0,0.0,0.0,0.0
1.00000001335143e-10,0.0,0.0,0.0
2.00000002670286e-10,0.0,0.0,0.0
2.99999997066536e-10,0.0,0.0,0.0
4.25000007409082e-10,0.0,0.0,0.0
5.81249992581689e-10,3.48747915843503e-17,2.49735488399314e-16,5.77023937020692e-16
7.76562480986343e-10,1.29652378785296e-13,-1.02867842163916e-15,-7.21076342200948e-16
1.02070307761437e-09,1.49605989489127e-12,-4.23906786409245e-14,-1.5968201594167e-15
1.32587885115498e-09,1.00999655687495e-12,-4.18966754735586e-14,-1.41591653766288e-14
1.70734859583632e-09,-1.39239470647867e-11,7.99890617067187e-14,2.91636133069263e-15
2.18418572117685e-09,-4.96536874117215e-11,4.69683021859027e-14,-3.1747086242425e-14
2.78023226663038e-09,-7.3840870917774e-11,2.05159782391828e-14,1.49966410817326e-13
3.52529028191384e-09,1.84185843660201e-11,6.92047263137034e-14,2.41500528206989e-14
4.45661285652932e-09,6.15655026958706e-11,-3.34271896458311e-14,6.00843837574375e-14
5.62076607479867e-09,-1.24741411644536e-10,-8.61035418311951e-15,-8.55460925079481e-14
7.07595759763535e-09,-1.72171027434942e-10,2.05001353349374e-14,6.47092717408725e-14
8.89494700118121e-09,-1.22200596863742e-10,-1.14149995337175e-13,-9.12881220811214e-14
1.11686837556135e-08,-2.29437822907297e-11,1.26939095086015e-13,1.26111198307105e-13
1.40108546986539e-08,2.77158324069049e-10,6.4810610762682e-14,1.58911824129325e-13
1.75635683774544e-08,-1.10516529261417e-08,-1.05958332928015e-13,-1.1084832189515e-13
2.20044604759551e-08,-8.08016338282869e-08,5.86071515211624e-14,4.88490168725365e-14
2.75555755990808e-08,-1.57633621711284e-07,-2.99091297789687e-14,-2.11651476780903e-14
3.44944695029881e-08,-1.05853223431041e-06,1.10224820942676e-14,4.58502407183837e-15
4.31680859946937e-08,-1.41858197366673e-06,-3.66396163084017e-14,-8.56987860785584e-16
5.40101083856825e-08,-1.51816107063496e-06,-6.70958717730562e-14,-1.81424314082328e-15
6.75626381507755e-08,-1.62205174092378e-06,-8.121336312868e-14,-2.0405121955178e-14
8.45032914753574e-08,-1.7625168311497e-06,2.95670673816813e-14,3.43004784968679e-15
1.05679120565583e-07,-1.90321475201927e-06,-2.97342547448103e-14,4.2904583694419e-14
1.3214889804658e-07,-2.02625415113289e-06,-6.45126787819465e-14,-7.08761865929157e-14
1.65236116345113e-07,-2.16193689084321e-06,3.87396142725524e-14,-7.54305540012941e-15
2.06595146323707e-07,-2.28193289331102e-06,5.59902601712792e-14,7.41808890247601e-14
2.58293937349663e-07,-2.42089390667388e-06,-4.8957613272638e-14,-2.81606504879284e-14
3.22917429684821e-07,-2.57496208178054e-06,1.35291837750754e-14,3.98608250085693e-14
4.03696787998342e-07,-2.70485907094553e-06,4.34240757772337e-14,2.59169449139465e-14
5.04670992995671e-07,-2.84802376881998e-06,-3.42510545479121e-14,-3.78552000672699e-14
6.30888735031476e-07,-3.00584997603437e-06,4.105289174469e-15,2.7396787705765e-14
