Time,U1,U2,U3
0.0,0.0,0.0,0.0
1.00000001335143e-10,0.0,0.0,0.0
2.00000002670286e-10,0.0,0.0,0.0
2.99999997066536e-10,0.0,0.0,0.0
4.25000007409082e-10,0.0,0.0,0.0
5.81249992581689e-10,0.0,0.0,0.0
7.76562480986343e-10,0.0,0.0,0.0
1.02070307761437e-09,0.0,0.0,0.0
1.32587885115498e-09,0.0,0.0,0.0
1.70734859583632e-09,0.0,0.0,0.0
2.18418572117685e-09,0.0,0.0,0.0
2.78023226663038e-09,0.0,0.0,0.0
3.52529028191384e-09,0.0,0.0,0.0
4.45661285652932e-09,0.0,0.0,0.0
5.62076607479867e-09,0.0,0.0,0.0
7.07595759763535e-09,0.0,0.0,0.0
8.89494700118121e-09,0.0,0.0,0.0
1.11686837556135e-08,0.0,0.0,0.0
1.40108546986539e-08,0.0,0.0,0.0
1.75635683774544e-08,0.0,0.0,0.0
2.20044604759551e-08,0.0,0.0,0.0
2.75555755990808e-08,0.0,0.0,0.0
3.44944695029881e-08,0.0,0.0,0.0
4.31680859946937e-08,0.0,0.0,0.0
5.40101083856825e-08,0.0,0.0,0.0
6.75626381507755e-08,0.0,0.0,0.0
8.45032914753574e-08,0.0,0.0,0.0
1.05679120565583e-07,0.0,0.0,0.0
1.3214889804658e-07,0.0,0.0,0.0
1.65236116345113e-07,0.0,0.0,0.0
2.06595146323707e-07,0.0,0.0,0.0
2.58293937349663e-07,0.0,0.0,0.0
3.22917429684821e-07,0.0,0.0,0.0
4.03696787998342e-07,0.0,0.0,0.0
5.04670992995671e-07,0.0,0.0,0.0
6.30888735031476e-07,0.0,0.0,0.0
7.88660884154524e-07,0.0,0.0,0.0
9.85876113190898e-07,0.0,0.0,0.0
1.23239522054064e-06,0.0,0.0,0.0
1.54054396261927e-06,0.0,0.0,0.0
1.92572997548268e-06,0.0,0.0,0.0
2.40721237787511e-06,0.0,0.0,0.0
3.00906549455249e-06,0.0,0.0,0.0
3.61091861122986e-06,0.0,0.0,0.0
4.21277172790724e-06,0.0,0.0,0.0
4.81462484458461e-06,0.0,0.0,0.0
5.5669411267445e-06,0.0,0.0,0.0
6.31925740890438e-06,0.0,0.0,0.0
7.07157414581161e-06,0.0,0.0,0.0
7.82388997322414e-06,0.0,0.0,0.0
8.76428566698451e-06,0.0,0.0,0.0
9.70468136074487e-06,2.59069347660446e-26,0.0,0.0
1.06450770545052e-05,2.30316692704942e-25,0.0,0.0
1.15854727482656e-05,1.48492287595738e-24,9.57050980594789e-26,1.37081727680888e-25
1.27061002785922e-05,1.02975851529197e-23,1.48530438881267e-24,2.31402880215721e-24
1.38267287184135e-05,4.30500233977523e-23,1.22698123577583e-23,2.0348941573771e-23
1.49473562487401e-05,1.01588466077967e-22,7.00013520949887e-23,1.22171153448842e-22
1.60679846885614e-05,3.23942949994318e-24,3.06111706120075e-22,5.47222485340288e-22
1.7468770238338e-05,-1.93375621922844e-21,1.81057476846283e-21,2.51979712345413e-21
1.88695539691253e-05,-9.68154807151938e-21,1.11214998813251e-20,7.23960992906697e-21
