Time,U1,U2,U3
0.0,0.0,0.0,0.0
2.46368681011688e-09,-3.38739030431611e-17,-2.25809191987495e-20,-3.55169423434927e-21
4.92737362023377e-09,-1.35353138583938e-16,-1.77267829649228e-19,-2.78660217015952e-20
7.39106020830604e-09,-3.04014180222537e-16,-7.21924774737799e-19,-1.13392710103336e-19
1.04706687764633e-08,-6.08145886266505e-16,-2.65847184157627e-18,-4.16899545714609e-19
1.43201788205261e-08,-1.13102541265589e-15,-8.88019829324364e-18,-1.38865685368119e-18
1.91320665976491e-08,-1.99945218869635e-15,-2.73834733801556e-17,-4.26167008463954e-18
2.51469280954097e-08,-3.39969357698899e-15,-7.91425432790403e-17,-1.22188903242292e-17
3.26655040794321e-08,-5.58959710046897e-15,-2.1636135795609e-16,-3.29639315774589e-17
4.20637213949249e-08,-8.88864939903875e-15,-5.60965357011053e-16,-8.35896515405825e-17
5.38114974801829e-08,-1.36026316959977e-14,-1.37248263630345e-15,-1.96890161611302e-16
6.84962131458633e-08,-1.97987768080178e-14,-3.11980424506301e-15,-4.18050675897637e-16
8.68521112806775e-08,-2.68149099523192e-14,-6.37080034112856e-15,-7.45344947870527e-16
1.09796978620125e-07,-3.24615483690387e-14,-1.08579832137131e-14,-8.93163949748546e-16
1.38478071676218e-07,-3.22171420943061e-14,-1.24684486503936e-14,2.52719956049405e-16
1.7432942911455e-07,-1.90446108590345e-14,1.6042220627054e-15,4.99203526145532e-15
2.19143629465179e-07,1.6788774079182e-14,4.96531492950782e-14,1.45958142490701e-14
2.75161369245325e-07,8.95738629211502e-14,1.22458534740529e-13,2.32434175530781e-14
3.45183565286789e-07,2.05106073726709e-13,1.46882533262963e-13,2.18229466886644e-14
4.32711317444046e-07,2.92599007089417e-13,8.7588885254973e-14,2.29798378405515e-14
5.4212097211348e-07,1.88871921574796e-13,1.09879512715134e-13,3.48077042720569e-14
6.78883054661128e-07,-8.97813046780646e-14,2.84110652755756e-13,3.09620506011956e-15
8.49835657845688e-07,-2.7890908441304e-13,2.738475407809e-13,-2.25893268527471e-14
1.06352638340468e-06,-3.79296339345428e-13,-3.64212173332816e-14,4.1803400205407e-14
1.33063986140769e-06,-4.87866203598836e-13,-2.08803921418824e-13,2.37742243020022e-14
1.66453173733316e-06,-5.11684824285735e-13,-5.69074952092019e-14,-7.45124719304241e-15
2.08189658224001e-06,-5.3093385807626e-13,-1.43256541069829e-13,1.22935448171151e-14
2.60360252468672e-06,-5.62437466392063e-13,-2.69987889467069e-13,2.02445075677196e-14
3.25573478221486e-06,-5.69444231351968e-13,-1.0744774210994e-13,1.07301371428522e-14
3.90786726711667e-06,-5.88144821473541e-13,-2.58962962835715e-13,1.19691684677663e-15
4.55999997939216e-06,-6.22332480687549e-13,-2.23112381434604e-13,3.39067695361711e-14
5.2121322369203e-06,-6.79722066392746e-13,-1.84071115012611e-13,-1.23193903334346e-14
5.86426449444843e-06,-7.64443087823696e-13,-3.22256625681291e-13,3.62542400343235e-14
6.51639720672392e-06,-8.44937889186298e-13,-2.93686787129072e-13,-3.32657028144371e-15
7.16852946425206e-06,-9.67447693137058e-13,-3.37478309186956e-13,1.32532882034958e-14
7.98369546828326e-06,-1.11753531775727e-12,-4.57588665309788e-13,2.24152802168111e-14
8.79886101756711e-06,-1.23647305502045e-12,-4.46854115125281e-13,-3.9532781006559e-15
9.61402656685095e-06,-1.42895092460071e-12,-5.18465478882568e-13,3.22888417392253e-14
1.04291921161348e-05,-1.59316299302298e-12,-5.57231073349679e-13,-7.52460702253821e-15
1.14481490527396e-05,-1.79588939205888e-12,-6.23448287353362e-13,2.86182007453763e-14
1.24671059893444e-05,-2.07324088452587e-12,-7.44025446721558e-13,2.26871041010134e-15
1.37316237669438e-05,-2.36263742944831e-12,-8.19456481837566e-13,1.68942449277083e-14
1.49961424540379e-05,-2.6001089302452e-12,-8.50672505527117e-13,1.2304336863896e-14
1.6260661141132e-05,-2.81484254308073e-12,-8.58096092012234e-13,9.45634951501342e-15
1.75251789187314e-05,-3.12931603373146e-12,-9.42730810950254e-13,1.70626283013588e-14
1.87896966963308e-05,-3.55475696621477e-12,-1.06949171740922e-12,7.80289546219387e-15
2.03128620341886e-05,-4.08285601508074e-12,-1.25477579715483e-12,1.67217263392092e-14
2.18360273720464e-05,-4.49019944490092e-12,-1.31543051191257e-12,8.44653716408758e-15
2.33591927099042e-05,-4.80408855058068e-12,-1.29985442982178e-12,1.53575882479856e-14
2.4882358047762e-05,-5.241705073461e-12,-1.35460468796839e-12,1.0408129944657e-14
2.67151590378489e-05,-5.90816761833479e-12,-1.5597838775791e-12,1.42930795915238e-14
2.85479600279359e-05,-6.49793543625043e-12,-1.663352398526e-12,1.0041972848152e-14
3.03807610180229e-05,-7.02359004289832e-12,-1.66746954785579e-12,1.38983012517311e-14
3.22135601891205e-05,-7.71176178471222e-12,-1.7958317125033e-12,1.1034166066742e-14
3.40463629981969e-05,-8.36161955647396e-12,-1.92373721119576e-12,1.25033692777101e-14
3.63373619620688e-05,-9.10163090728222e-12,-1.95340531944366e-12,1.1692352171373e-14
3.86283645639196e-05,-1.00723370616285e-11,-2.15645405178544e-12,1.32932935695946e-14
4.09193635277916e-05,-1.11281270656627e-11,-2.42337204990617e-12,1.19294714216603e-14
4.32103661296424e-05,-1.19932726944105e-11,-2.46117471021379e-12,1.33992616264608e-14
4.604208515957e-05,-1.31631467878424e-11,-2.57952144887275e-12,1.40831822860953e-14
4.88738041894976e-05,-1.45640253329526e-11,-2.84800416756881e-12,1.44298567777805e-14
5.17055232194252e-05,-1.59510148145525e-11,-3.02129567024412e-12,1.58297633763007e-14
5.45372422493529e-05,-1.7342183245006e-11,-3.17959135583135e-12,1.61343293190791e-14
5.79312327317894e-05,-1.92322980457904e-11,-3.52016007489075e-12,1.83895138835622e-14
6.1325219576247e-05,-2.12650851788565e-11,-3.89958811769509e-12,1.90919227313364e-14
6.47192136966623e-05,-2.32623555834754e-11,-4.20511108573107e-12,2.12891024795915e-14
6.811320054112e-05,-2.52850275439531e-11,-4.51947984245193e-12,2.31778317919722e-14
7.23556877346709e-05,-2.78311054757729e-11,-4.86711322286726e-12,2.60669951064867e-14
7.65981749282219e-05,-3.03737104911939e-11,-5.16914809567393e-12,2.99848985701665e-14
8.18150074337609e-05,-3.34036201476984e-11,-5.46788439179102e-12,3.59142410092956e-14
8.70318399393e-05,-3.64315383416525e-11,-5.68896665886776e-12,4.13821605563421e-14
9.2248672444839e-05,-3.95478788606241e-11,-5.95660413355015e-12,4.77832698539057e-14
9.74654976744205e-05,-4.25839051521049e-11,-6.11184497109618e-12,5.38378715252748e-14
0.000103986538306344,-4.65658206438846e-11,-6.29093522067081e-12,5.97722216231882e-14
0.000112058718514163,-5.18496912071953e-11,-6.53473108958025e-12,6.36754036542446e-14
0.000120130891446024,-5.77820048752731e-11,-6.99707262616367e-12,6.78813559182312e-14
0.000128203071653843,-6.43684966439295e-11,-7.67812723123651e-12,7.16826297213376e-14
0.000136275237309746,-7.111305294627e-11,-8.17592347990281e-12,7.59166018352193e-14
0.00014619504509028,-7.99706620369101e-11,-8.82811358737801e-12,7.93178795755779e-14
0.000156114852870815,-8.96675164674399e-11,-9.58806731926609e-12,7.80019901750958e-14
0.00016809230146464,-1.03055133870988e-10,-1.10642311285103e-11,7.30125866450076e-14
0.00018006976461038,-1.17906420737945e-10,-1.28820452569012e-11,7.35089005182536e-14
0.00019204722775612,-1.33505123622868e-10,-1.46117354327124e-11,8.13539705979242e-14
0.000207019053050317,-1.53970877714293e-10,-1.68904664560321e-11,9.28245178746963e-14
0.000221990878344513,-1.75147951697596e-10,-1.91379048025686e-11,9.74217587027329e-14
0.000240119989030063,-2.01324026893879e-10,-2.16795331686725e-11,8.474649340574e-14
0.000258249085163698,-2.28015634151646e-10,-2.4006189397463e-11,4.378590792351e-14
0.000276378210401163,-2.5584404039769e-10,-2.63925686860844e-11,-3.05681112475371e-14
0.000299039587844163,-2.93290142172609e-10,-2.98762785344575e-11,-1.50899258366533e-13
0.000321700965287164,-3.33968408483543e-10,-3.41049063989907e-11,-2.49106128519944e-13
0.000349356007063761,-3.86733978174902e-10,-3.98689206648761e-11,-2.69724238603775e-13
0.000377011048840359,-4.40482234020934e-10,-4.57034896039765e-11,-1.8882653416135e-13
0.000404666090616956,-4.92400897833534e-10,-5.05667348271732e-11,-9.46784222744836e-14
0.000432321132393554,-5.42906608558269e-10,-5.46815613622353e-11,-8.6745653791586e-14
0.00046688990551047,-6.08272376911856e-10,-6.04209529631028e-11,-2.20504251793527e-13
0.000508329190779477,-6.91988855106018e-10,-6.88176390872819e-11,-3.52014424553904e-13
0.000549768446944654,-7.78050790462004e-10,-7.7899242612034e-11,-2.22345647210749e-13
0.000591207703109831,-8.60673532443457e-10,-8.57347387528407e-11,1.69607675072538e-14
0.000632646959275007,-9.40012179206917e-10,-9.22665485680874e-11,4.98792190005686e-14
0.000682174519170076,-1.03943575968657e-09,-1.01225465509724e-10,-1.46489577738072e-13
0.000731702079065144,-1.14590659183733e-09,-1.11855948115025e-10,-2.13082860817809e-13
0.000781229638960212,-1.25430887898403e-09,-1.21855386892022e-10,-8.29741684431687e-14
0.000841443194076419,-1.39266986831643e-09,-1.33916336353401e-10,-3.96818029011013e-14
0.000901656690984964,-1.54919155281874e-09,-1.48521334120133e-10,-2.39041676264404e-14
0.000961870246101171,-1.72630387762496e-09,-1.65605168467309e-10,1.78822668478462e-13
0.00102208380121738,-1.92025817469244e-09,-1.83412479648482e-10,2.26033045904427e-13
0.00109735073056072,-2.19465268180841e-09,-2.08963332748446e-10,1.17473932193185e-14
0.00117261765990406,-2.50922504996254e-09,-2.39751302144597e-10,6.15762188417232e-14
0.00126571569126099,-2.93732460576734e-09,-2.80424267140589e-10,5.48574484720166e-14
0.00135881383903325,-3.4006331084413e-09,-3.24638677051681e-10,-2.38959351438195e-13
0.0014519119868055,-3.88639520565448e-09,-3.71963654322016e-10,-3.39601224474528e-14
0.00154501001816243,-4.37263025787615e-09,-4.18000634105908e-10,3.4124961835252e-14
0.00166138273198158,-4.9722213013581e-09,-4.74815409212681e-10,-3.7183358605683e-13
0.0017777553293854,-5.5572701995743e-09,-5.30480825933211e-10,-8.22995575226575e-14
0.00191648269537836,-6.24684082239924e-09,-5.94379545582058e-10,1.28987166542367e-13
0.00205521006137133,-6.97258384363408e-09,-6.62740862189537e-10,1.8273716009343e-14
0.00219393754377961,-7.75918351791915e-09,-7.37227334735024e-10,1.89475849289925e-13
0.00233266479335725,-8.61474180879895e-09,-8.1815770824889e-10,-3.33906554207501e-14
0.00250607402995229,-9.74717462298713e-09,-9.27136534212281e-10,-3.42738024647436e-14
0.00267948326654732,-1.08576534429972e-08,-1.03286579289374e-09,-5.14645123121226e-14
0.00288835912942886,-1.20830661032301e-08,-1.14901632652931e-09,-1.89489184976646e-13
0.00309723522514105,-1.31832376126795e-08,-1.25239874027017e-09,1.894195927497e-13
0.00330611108802259,-1.42392071467157e-08,-1.3513615781946e-09,1.49368134506021e-13
0.00356720620766282,-1.55840211846225e-08,-1.47960677043812e-09,1.86636967545225e-14
0.00382830109447241,-1.68440834613648e-08,-1.6001941993693e-09,-3.54565755553669e-14
0.00414274958893657,-1.79839361180711e-08,-1.7085921566462e-09,-4.5314256904086e-14
0.00445719761773944,-1.86648811961732e-08,-1.77169123816157e-09,1.4272533621542e-13
0.0047716461122036,-1.90811579869887e-08,-1.81072790095271e-09,1.55151675469874e-13
0.00516470614820719,-1.92645952523662e-08,-1.82959825067996e-09,-7.02379099977099e-14
0.00555776664987206,-1.87720186062279e-08,-1.78316961196856e-09,1.1619990993722e-14
0.00604651449248195,-1.72489595939851e-08,-1.63720803580958e-09,1.6418111445024e-13
0.00653526233509183,-1.52112047402397e-08,-1.44449974204264e-09,-2.54792796019684e-14
0.00702400971204042,-1.27280417316911e-08,-1.21020859999987e-09,-4.5491818726753e-14
0.00751275755465031,-9.78183933852961e-09,-9.29698540375057e-10,6.08457308517475e-14
0.00812369212508202,-6.26621332600052e-09,-5.96144023035095e-10,1.00007121792253e-14
0.00876031257212162,-3.29915095242939e-09,-3.16103032638182e-10,-1.34502191285676e-13
0.00939693208783865,-1.17361509399672e-09,-1.13536104129341e-10,3.2382469373083e-14
0.0100335525348783,-4.95385066301424e-10,-4.91211966935357e-11,-5.73178386264334e-14
0.0106701720505953,-1.38394851134649e-09,-1.34410246821481e-10,-1.11403345316036e-13
0.0113067924976349,-3.43799166913072e-09,-3.28191196441452e-10,3.9202677020421e-14
0.0119434120133519,-6.57588117292107e-09,-6.25737850423747e-10,-4.33705907288123e-14
0.0125800324603915,-1.02866621887188e-08,-9.78353842384649e-10,-3.80626045547346e-14
0.0132166519761086,-1.37761180241114e-08,-1.30838129219768e-09,8.66273199007228e-14
0.0138532724231482,-1.67085669744438e-08,-1.58647395220868e-09,1.40292474631789e-14
