Time,U1,U2,U3
0.0,0.0,0.0,0.0
2.46368681011688e-09,0.0,0.0,0.0
4.92737362023377e-09,0.0,0.0,0.0
7.39106020830604e-09,0.0,0.0,0.0
1.04706687764633e-08,0.0,0.0,0.0
1.43201788205261e-08,0.0,0.0,0.0
1.91320665976491e-08,0.0,0.0,0.0
2.51469280954097e-08,0.0,0.0,0.0
3.26655040794321e-08,0.0,0.0,0.0
4.20637213949249e-08,0.0,0.0,0.0
5.38114974801829e-08,0.0,0.0,0.0
6.84962131458633e-08,0.0,0.0,0.0
8.68521112806775e-08,0.0,0.0,0.0
1.09796978620125e-07,0.0,0.0,0.0
1.38478071676218e-07,0.0,0.0,0.0
1.7432942911455e-07,0.0,0.0,0.0
2.19143629465179e-07,0.0,0.0,0.0
2.75161369245325e-07,0.0,0.0,0.0
3.45183565286789e-07,0.0,0.0,0.0
4.32711317444046e-07,0.0,0.0,0.0
5.4212097211348e-07,0.0,0.0,0.0
6.78883054661128e-07,0.0,0.0,0.0
8.49835657845688e-07,0.0,0.0,0.0
1.06352638340468e-06,0.0,0.0,0.0
1.33063986140769e-06,0.0,0.0,0.0
1.66453173733316e-06,0.0,0.0,0.0
2.08189658224001e-06,0.0,0.0,0.0
2.60360252468672e-06,-1.53606964649756e-26,2.85614486306254e-25,4.15314559000101e-25
3.25573478221486e-06,-4.98331046335849e-24,1.16028034833509e-22,1.84200435007848e-22
3.90786726711667e-06,-1.08572466242055e-22,2.78120255484062e-21,4.55270636795418e-21
4.55999997939216e-06,-1.1902177837713e-21,3.43801110307158e-20,5.80744121027874e-20
5.2121322369203e-06,-8.15331411836919e-21,2.80479678321445e-19,4.90234276896263e-19
5.86426449444843e-06,-3.60177638536831e-20,1.66710425263516e-18,3.02670700768588e-18
6.51639720672392e-06,-8.3356612376451e-20,7.59961599871253e-18,1.44024337287711e-17
7.16852946425206e-06,1.37772062125444e-19,2.73636723306523e-17,5.4453418838374e-17
7.98369546828326e-06,4.85848296454808e-18,1.00844817789451e-16,2.16937750641807e-16
8.79886101756711e-06,3.28573973320069e-17,2.60410274056645e-16,6.0347100555149e-16
9.61402656685095e-06,1.3788370245342e-16,4.97702742581675e-16,1.21990013288831e-15
1.04291921161348e-05,4.23558481167378e-16,7.42656729993738e-16,1.78806558758838e-15
1.14481490527396e-05,1.21804830710738e-15,1.03725611253776e-15,1.65945051669051e-15
1.24671059893444e-05,2.52614807496915e-15,1.54080925874656e-15,3.34480499497396e-16
1.37316237669438e-05,4.5325834150409e-15,2.475874340209e-15,-1.56309141333615e-15
