Time,U1,U2,U3
0.0,0.0,0.0,0.0
5.61553406441817e-07,2.30332263272169e-14,5.6382053302268e-17,1.06140466121324e-17
1.12310681288363e-06,5.3432335867052e-14,3.36003888253033e-16,9.65949490906108e-17
1.68466021932545e-06,-1.92152446298194e-13,9.5723023962619e-16,3.91662264398435e-16
2.38660186369088e-06,-1.43583051264579e-12,2.04828321458909e-15,1.15151566904557e-15
3.26402914652135e-06,-3.49702450157252e-12,3.40731539120662e-15,2.39631782942933e-15
4.36081290899892e-06,-3.9975310388296e-12,4.44451739951487e-15,3.66532205045675e-15
5.7317929531564e-06,-2.39986329420017e-12,4.54036129507907e-15,4.28470218764225e-15
7.44551789466641e-06,-1.78954193044006e-12,4.48293161422228e-15,4.44677728341815e-15
9.58767395786708e-06,-1.56280240484752e-12,6.25910718857182e-15,5.93377623309154e-15
1.22653691505548e-05,5.47596744424755e-13,9.07511946721205e-15,9.01099992013784e-15
1.56124879140407e-05,1.8343571019791e-12,1.18215111433021e-14,1.21481414473235e-14
1.97963872778928e-05,2.87710849068701e-12,1.79256108790099e-14,1.76065759194266e-14
2.50262619374553e-05,5.1595225487866e-12,2.64190270815633e-14,2.5921996618444e-14
3.02561347780284e-05,6.52767857128866e-12,3.474756154467e-14,3.43429000244488e-14
3.54860094375908e-05,9.20417301403242e-12,4.49419520424498e-14,4.44509473717172e-14
4.07158804591745e-05,1.14888324548312e-11,5.56283636504989e-14,5.51637660789299e-14
4.72532228741329e-05,1.48969257068865e-11,7.28234272472268e-14,7.13298574394651e-14
5.37905652890913e-05,1.99144988694e-11,9.26759347432207e-14,8.99668387748312e-14
6.1962244217284e-05,2.63858518367854e-11,1.19883432608131e-13,1.16033376483526e-13
7.01339231454767e-05,3.40637830442692e-11,1.53025202643924e-13,1.48097910345792e-13
7.99333865870722e-05,4.30465836587235e-11,2.01288855375403e-13,1.94222540611175e-13
8.97328500286676e-05,5.25749305202439e-11,2.57945276466512e-13,2.4786837621478e-13
0.000101933699625079,6.54179210801686e-11,3.37392928265873e-13,3.2444500645129e-13
0.000114134541945532,8.09190700556961e-11,4.28393811310185e-13,4.14288612096692e-13
0.000129385603941046,1.01789784934248e-10,5.54489830786875e-13,5.46050997387443e-13
0.000148449427797459,1.29411398264168e-10,7.25348654837671e-13,7.40596061039878e-13
0.000167513251653872,1.60693722217609e-10,9.05825165310042e-13,9.69858850348448e-13
0.000186577075510286,1.95206573128104e-10,1.08643584580126e-12,1.23383941952326e-12
0.000209442470804788,2.38912695182947e-10,1.2919678347989e-12,1.59769799387005e-12
0.000232307866099291,2.85066970029391e-10,1.47632969217659e-12,2.00985885920324e-12
0.000255173275945708,3.35081157265549e-10,1.63570860415435e-12,2.46506851389605e-12
0.000278038671240211,3.89742016437822e-10,1.77538550267392e-12,2.9677547312007e-12
0.000306276022456586,4.65231603241634e-10,1.942476561545e-12,3.67306662515943e-12
0.000334513373672962,5.47803358230681e-10,2.13133222008721e-12,4.48408584569071e-12
0.000362750724889338,6.35106245372441e-10,2.36826747448959e-12,5.40571060136941e-12
0.000390988076105714,7.26287252561519e-10,2.66916783814297e-12,6.44072642441706e-12
0.00041922542732209,8.20138235102519e-10,3.03413999654112e-12,7.58052214749894e-12
0.000453666143584996,9.36169142207177e-10,3.53970520429459e-12,9.08678080696612e-12
0.000488106859847903,1.05566455577133e-09,4.06782246775705e-12,1.06963491883216e-11
0.00052254757611081,1.17606024918615e-09,4.56499248124853e-12,1.23756204936654e-11
0.000556988292373717,1.29673882742765e-09,4.99038440779365e-12,1.40828355921219e-11
0.000600039202254266,1.45595602241144e-09,5.41762988637284e-12,1.62261350189485e-11
0.000643090053927153,1.62673241543843e-09,5.78391197783579e-12,1.83843704149034e-11
0.000686140963807702,1.80890780132614e-09,6.17563075330785e-12,2.05753625942551e-11
0.00072919181548059,1.99913108289707e-09,6.63967145153599e-12,2.27962405896509e-11
0.000782154384069145,2.24297358464298e-09,7.26755157789971e-12,2.55307008173444e-11
0.0008351169526577,2.50234855059261e-09,7.84045918467147e-12,2.82373638360589e-11
0.000888079463038594,2.77999179232324e-09,8.23793897680725e-12,3.09073287796391e-11
0.000941042031627148,3.0833839925748e-09,8.46020042216677e-12,3.35946617746608e-11
0.00100584852043539,3.49798101595411e-09,8.69331516495375e-12,3.71031573520586e-11
0.0010706550674513,3.95609145442677e-09,9.09943561472337e-12,4.10911062120878e-11
0.0011354616144672,4.44578152070108e-09,9.7025417214458e-12,4.57190396652152e-11
0.00120026816148311,4.96270713412628e-09,1.03247375926596e-11,5.10443874668365e-11
0.00128127634525299,5.65234792304636e-09,1.0993578443419e-11,5.88148488245288e-11
0.00136228452902287,6.38226804738906e-09,1.17512544833831e-11,6.80054207391478e-11
0.00146228400990367,7.3116908083648e-09,1.31645770673483e-11,8.13775713481846e-11
